;avail_local;avail_exterior;gwp_op_local;c_op_local
WOOD;519.2915026;1.00E+15;0.0118;0.016980597
BIOMASS_RESIDUES;1286.575347;0;0.0118;0.010318121
WASTE;0;0;0.1501;0.021187834
GAS;16276.1163;0;0.2666;0.0038
GASOLINE;0;1;0.3448;0.0535
DIESEL;0;1;0.3148;0.0466
LFO;0;0.7307;0.3115;0.0355
LPG;102.6784;0;0.2836;0.0216
LNG;0;0;0.2666;0.0038
JET_FUEL;0;0.7307;0.3115;0.0355
