;avail_local;avail_exterior;gwp_op_local;c_op_local
WOOD;396.099602;1.00E+15;0.0118;0.016980597
BIOMASS_RESIDUES;862.5459482;0;0.0118;0.010318121
WASTE;0;0;0.1501;0.021187834
GAS;0;1;0.2666;0.003808043
GASOLINE;0;63.286028;0.3448;0.0534796
DIESEL;0;1143.906859;0.3148;0.0466305
LFO;0;0.696758;0.3115;0.03545419
LPG;0;1;0.28360908;0.021578745
LNG;0;1;0.2666;0.003808043
JET_FUEL;0;0.696758;0.3115;0.03545419
