;avail_local;avail_exterior;gwp_op_local;c_op_local
WOOD;265.7195435;1.00E+15;0.0118;0.016980597
BIOMASS_RESIDUES;2407.745699;0;0.0118;0.010318121
WASTE;0;0;0.1501;0.021187834
GAS;1.00E+15;0;0.2666;0.003808043
GASOLINE;921.4370961;72.23519493;0.3448;0.053479557
DIESEL;0;2034.004317;0.3148;0.046630491
LFO;0;2.02185024;0.3115;0.03545419
LPG;4046.95798;0;0.28360908;0.021578745
LNG;0;0;0.2666;0.003808043
JET_FUEL;0;2.02185024;0.3115;0.03545419
