;avail_local;avail_exterior;gwp_op_local;c_op_local
WOOD;38.513044;0;0.0118;0.016980597
BIOMASS_RESIDUES;38.513044;0;0.0118;0.010318121
WASTE;0;0;0.1501;0.021187834
GAS;0;0.5;0.2666;0.010662519
GASOLINE;0;0;0.3448;0.124118331
DIESEL;0;0.5;0.3148;0.111311495
LFO;0;0;0.3115;0.085115655
LPG;0;0.5;0.28360908;0.021578745
LNG;0;0.5;0.2666;0.010662519
JET_FUEL;0;0;0.3115;0.085115655
