;avail_local;avail_exterior;gwp_op_local;c_op_local
WOOD;145.5976773;0;0.0118;0.016980597
BIOMASS_RESIDUES;145.5976773;0;0.0118;0.010318121
WASTE;0;0;0.1501;0.021187834
ELECTRICITY;0;0;0.412971429;0.063732
GAS;200;0.5;0.2666;0.010662519
GASOLINE;0;1.00E+15;0.3448;0.124118331
DIESEL;0;1.00E+15;0.3148;0.111311495
LFO;0;0;0.3115;0.085115655
LPG;0;0.5;0.28360908;0.021578745
LNG;0;0;0.2666;0.010662519
JET_FUEL;0;0;0.3115;0.085115655
