;avail_local;avail_exterior;gwp_op_local;c_op_local
WOOD;268.5995715;1.00E+15;0.0118;0.016980597
BIOMASS_RESIDUES;244.0025778;0;0.0118;0.010318121
WASTE;0.000000;0.000000;0.150100;0.021188
GAS;0.000000;1.000000;0.266600;0.003808
GASOLINE;0.000000;0.000000;0.344800;0.053480
DIESEL;0.000000;1530.114776;0.314800;0.046630
LFO;0.000000;2.566109;0.311500;0.035454
LPG;0.000000;1.000000;0.283609;0.021579
LNG;0.000000;1.000000;0.266600;0.003808
JET_FUEL;0.000000;2.566109;0.311500;0.035454
