;avail_local;avail_exterior;gwp_op_local;c_op_local
WOOD;1564.404137;0;0.0118;0.016980597
BIOMASS_RESIDUES;5015.93327;0;0.0118;0.010318121
WASTE;0;0;0.1501;0.021187834
GAS;477.4322454;0;0.2666;0.003808043
GASOLINE;6182.36861;0;0.3448;0.05348
DIESEL;3478.250423;0;0.3148;0.04663
LFO;1176.620502;2.7530442;0.3115;0.03545419
LPG;1172.541918;0;0.28360908;0.021578745
LNG;0;0;0.2666;0.003808043
ELECTRICITY;0;0;0.412971429;0.063732
JET_FUEL;1176.620502;2.7530442;0.3115;0.03545419
