;avail_local;avail_exterior;gwp_op_local;c_op_local
WOOD;58.38846907;1.00E+15;0.0118;0.016980597
BIOMASS_RESIDUES;226.761768;0;0.0118;0.010318121
WASTE;0;0;0.1501;0.021187834
ELECTRICITY;0;0;0.412971429;0.063732
GAS;0;1;0.2666;0.003808043
GASOLINE;0;1;0.3448;0.053479557
DIESEL;0;157.3826607;0.3148;0.046630491
LFO;0;1;0.3115;0.03545419
LPG;0;1;0.28360908;0.021578745
LNG;0;1;0.2666;0.010662519
JET_FUEL;0;1;0.3115;0.03545419
