Technologies param;c_p;fmin_perc;fmax_perc;f_min;f_max
IND_BOILER_WOOD;0.8946;0.958591085;0.958691085;0;1.00E+15
IND_BOILER_OIL;0.9443;0.024575878;0.024675878;0;1.00E+15
DHN_BOILER_GAS;0.95;0;1;0;1.00E+15
DHN_BOILER_OIL;0.95;0;1;0;1.00E+15
DEC_BOILER_GAS;1;0.0249;0.025;0;1.00E+15
DEC_DIRECT_ELEC;1;0.9749;0.975;0;1.00E+15
DEC_ELEC_COLD;1;0;1;0;1.00E+15
BOAT_FREIGHT_DIESEL;0.114155251;0;1;0;1.00E+15
EFFICIENCY;1;0;1;0;1.00E+15
GRID;1;0;1;0;1.00E+15
DHN;1;0;1;0;1.00E+15
OIL_TO_HVC;0.994;0;1;0;1.00E+15
DIESEL_STORAGE;1;0;1;21.7956;21.79561
GASOLINE_STORAGE;1;0;1;14.14521313;14.145223
JET_FUEL_STORAGE;1;0;1;0.506676333;0.506686
GENSET_DIESEL;0.165539573;0.203269391;0.204269391;0.03158;0.03159
STOVE_WOOD;0.1875;0.012220718;0.012320718;0.001263294;1.00E+15
STOVE_LPG;0.1875;0.942093351;0.942193351;0.077854;1.00E+15
STOVE_NG;0.1875;0.025404446;0.025504446;0.002015008;1.00E+15
STOVE_OIL;0.1875;0.019881485;0.019981485;0.001574238;1.00E+15
PLANE;0.114155251;0;1;0;1.00E+15
LNG_STORAGE;1;0;1;2.14;2.14001
IND_BOILER_DIESEL;0.9;0.016533037;0.016633037;0.000505453;1.00E+15
CAR_FG_PRIVATE;0.1343125;0;1;0;0
BUS_FG_PRIVATE;0.48372222;0;1;0;0
PICKUP_TRUCK_FG_PRIVATE;0.01679167;0;1;0;0
SUV_FG_PRIVATE;0.01927083;0;1;0;0
MOTORCYCLE_FG_PRIVATE;0.01989583;0;1;0;0
CAR_FG_PUBLIC;0.1343125;0;1;0;0
BUS_FG_PUBLIC;0.48372222;0;1;0;0
PICKUP_TRUCK_FG_PUBLIC;0.01679167;0;1;0;0
SUV_FG_PUBLIC;0.01927083;0;1;0;0
MOTORCYCLE_FG_PUBLIC;0.01989583;0;1;0;0
CAR_GASOLINE_PRIVATE;0.1343125;0.064773587;0.065773587;0;1.00E+15
BUS_GASOLINE_PRIVATE;0.48372222;0.311397488;0.312397488;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PRIVATE;0.01679167;0.012652051;0.013652051;0;1.00E+15
SUV_GASOLINE_PRIVATE;0.01927083;0.021513206;0.022513206;0;1.00E+15
MOTORCYCLE_GASOLINE_PRIVATE;0.01989583;0.322757741;0.323757741;0;1.00E+15
CAR_GASOLINE_PUBLIC;0.1343125;0.004895424;0.005895424;0;1.00E+15
BUS_GASOLINE_PUBLIC;0.48372222;0.637953488;0.638953488;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PUBLIC;0.01679167;0.011145259;0.012145259;0;1.00E+15
SUV_GASOLINE_PUBLIC;0.01927083;0.0180032;0.0190032;0;1.00E+15
MOTORCYCLE_GASOLINE_PUBLIC;0.01989583;0.0610967;0.0620967;0;1.00E+15
CAR_DIESEL_PRIVATE;0.1343125;0.023582859;0.024582859;0;1.00E+15
BUS_DIESEL_PRIVATE;0.48372222;0.113374037;0.114374037;0;1.00E+15
PICKUP_TRUCK_DIESEL_PRIVATE;0.01679167;0.004606377;0.005606377;0;1.00E+15
SUV_DIESEL_PRIVATE;0.01927083;0.007832559;0.008832559;0;1.00E+15
MOTORCYCLE_DIESEL_PRIVATE;0.01989583;0.117510094;0.118510094;0;1.00E+15
CAR_DIESEL_PUBLIC;0.1343125;0.001782333;0.002782333;0;1.00E+15
BUS_DIESEL_PUBLIC;0.48372222;0.232267007;0.233267007;0;1.00E+15
PICKUP_TRUCK_DIESEL_PUBLIC;0.01679167;0.004057782;0.005057782;0;1.00E+15
SUV_DIESEL_PUBLIC;0.01927083;0.006554631;0.007554631;0;1.00E+15
MOTORCYCLE_DIESEL_PUBLIC;0.01989583;0.022244173;0.023244173;0;1.00E+15
TRUCK_FG;0.01805556;0;1;0;0
VAN_FG;0.0203125;0;1;0;0
CARGO_MOTORCYCLE_FG;0.01075;0;1;0;0
TRUCK_GASOLINE;0.01805556;0.733094074;0.733194074;0;1.00E+15
VAN_GASOLINE;0.0203125;0.732242554;0.732342554;0;1.00E+15
CARGO_MOTORCYCLE_GASOLINE;0.01075;0.000851535;0.000951535;0;1.00E+15
TRUCK_DIESEL_P;0.01805556;0.266905926;0.267005926;0;1.00E+15
VAN_DIESEL;0.0203125;0.266595903;0.266695903;0;1.00E+15
CARGO_MOTORCYCLE_DIESEL;0.01075;0.000310008;0.000410008;0;1.00E+15
