;avail_local;avail_exterior;gwp_op_local;c_op_local
WOOD;285.6925939;1.00E+15;0.0118;0.016980597
BIOMASS_RESIDUES;766.5454221;0;0.0118;0.010318121
WASTE;0;0;0.1501;0.021188
GAS;0;1;0.2666;0.003808
GASOLINE;0;0;0.3448;0.05348
DIESEL;0;2068.674454;0.3148;0.04663
LFO;0;3.469311072;0.3115;0.035454
LPG;0;1;0.283609;0.021579
LNG;0;1;0.2666;0.003808
JET_FUEL;0;3.469311072;0.3115;0.035454
