;avail_local;avail_exterior;gwp_op_local;c_op_local
WOOD;1765.846211;0;0.0118;0.016980597
BIOMASS_RESIDUES;4219.67278;0;0.0118;0.010318121
WASTE;0;0;0.1501;0.021187834
GAS;0;0;0.2666;0.003808043
GASOLINE;0;10000;0.3448;0.05348
DIESEL;0;20000;0.3148;0.04663
LFO;0;14.51924367;0.3115;0.03545419
LPG;0;0;0.28360908;0.021578745
LNG;0;0;0.2666;0.003808043
JET_FUEL;0;14.51924367;0.3115;0.03545419
