;avail_local;avail_exterior;gwp_op_local;c_op_local
WOOD;4425.223512;50000;0.0118;0.016980597
BIOMASS_RESIDUES;50113.00565;0;0.0118;0.010318121
WASTE;0;0;0.1501;0.021187834
GAS;18510.2178;0;0.2666;0.003808043
GASOLINE;7815.790519;10000;0.3448;0.124118331
DIESEL;3214.179104;20000;0.3148;0.111311495
LFO;775.6956945;12.60962249;0.3115;0.03545419
LPG;2657.707299;0;0.28360908;0.021578745
LNG;0;0;0.2666;0.003808043
JET_FUEL;775.6956945;12.60962249;0.3115;0.03545419
