Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;Comment
;;Name (simplified);Name (in model and documents);[Meuro/GW] [Meuro/GWh] [Meuro/(Mkmpass/h)] [Meuro/(Mtonkm/h)];[Meuro/GW] [Meuro/GWh] [Meuro/(Mkmpass/h)] [Meuro/(Mtonkm/h)];[ktonCO2_eq/GW] [ktonCO2_eq/GWh] [ktonCO2_eq/(Mkmpass/h)] [ktonCO2_eq/(Mtonkm/h)];[years];[];[];[];[GW];[GW];
Mobility;Passenger private;Car hybrid (gasoline);CAR_HEV;429.41;34;0;10;0.1343125;0;1;0;0;
Mobility;Passenger private;Car plug-in hybrid;CAR_PHEV;456.37;34;0;10;0.1343125;0;1;0;0;
Mobility;Passenger private;Car electric;CAR_BEV;103.0178855;2.060357709;0;10;0.1343125;0;1;0;0;
Mobility;Passenger private;Car fuel cell (H2);CAR_FUEL_CELL;672.41;10;0;10;0.1343125;0;1;0;0;
Mobility;Freight;Train (freight);TRAIN_FREIGHT;104.42;2.088311688;0;40;0.342465753;0;1;0;0;
Mobility;Freight;Boat diesel;BOAT_FREIGHT_DIESEL;76.39;3.819444444;0;40;0.114155251;0;1;0;0;
Mobility;Freight;Boat gas;BOAT_FREIGHT_NG;76.39;3.819444444;0;40;0.114155251;0;1;0;0;
Mobility;Freight;Boat methanol;BOAT_FREIGHT_METHANOL;0;0;0;40;0.114155251;0;1;0;0;
Mobility;International shipping;Container shipping diesel;CARGO_LFO;0;0;0;40;0.739666854;0;1;0;0;
Mobility;International shipping;Container shipping LNG;CARGO_LNG;0;0;0;40;0.739666854;0;1;0;0;
Mobility;International shipping;Container shipping fuelcell;CARGO_METHANOL;0;0;0;40;0.739666854;0;1;0;0;
Mobility;International shipping;Container shipping fuelcell;CARGO_AMMONIA;0;0;0;40;0.739666854;0;1;0;0;
Mobility;International shipping;Container shipping fuelcell;CARGO_FUELCELL_LH2;0;0;0;40;0.739666854;0;1;0;0;
Mobility;International shipping;Container shipping fuelcell;CARGO_FUELCELL_AMMONIA;0;0;0;40;0.739666854;0;1;0;0;
Mobility;International shipping;Container shipping fuelcell;CARGO_RETRO_METHANOL;0;0;0;40;0.739666854;0;1;0;0;
Mobility;International shipping;Container shipping fuelcell;CARGO_RETRO_AMMONIA;0;0;0;40;0.739666854;0;1;0;0;
Mobility;Freight;Trucks diesel;TRUCK_DIESEL;0;0;0;15;0.092592593;0;1;0;0;
Mobility;Freight;Truck methanol;TRUCK_METHANOL;0;0;0;15;0.092592593;0;1;0;0;
Mobility;Freight;Truck fuel cell (hydrogen);TRUCK_FUEL_CELL;402.22;12.06666667;0;15;0.01805556;0;1;0;0;
Mobility;Freight;Truck electric;TRUCK_ELEC;771.11;23.13333333;0;15;0.01805556;0;1;0;0;
Mobility;Freight;Truck gas;TRUCK_NG;371.11;18.55555556;0;15;0.01805556;0;1;0;0;
Infrastructure;Infrastructure;Efficiency mesures in energy system;EFFICIENCY;0;0;0;1;1;0;1;0;0;
Infrastructure;Infrastructure;Distric heating network;DHN;825.88;0;0;60;1;0;1;0;0;
Infrastructure;Infrastructure;Electrical grid cost;GRID;810.19;0;0;80;1;0;1;0;0;
Infrastructure;Infrastructure;HVAC line;HVAC_LINE;2;0.04;0;40;1;0;1;0;0;
Infrastructure;Infrastructure;HVDC subsea cable;HVDC_SUBSEA;3.24;0.06;0;40;1;0;1;0;0;
Infrastructure;Infrastructure;Gas pipeline;GAS_PIPELINE;0.134;0.001;0;55;1;0;1;0;0;
Infrastructure;Infrastructure;Gas subsea pipeline;GAS_SUBSEA;0.208;0.002;0;55;1;0;1;0;0;
Infrastructure;Infrastructure;Hydrogen retrofitted pipeline;H2_RETROFITTED;0.355973417;0.005;0;40;1;0;1;0;0;
Infrastructure;Infrastructure;Hydrogen new pipeline;H2_NEW;0.452;0.005;0;40;1;0;1;0;0;
Infrastructure;Infrastructure;Hydrogen subsea retrofitted pipeline;H2_SUBSEA_RETRO;0.533066683;0.007;0;40;1;0;1;0;0;
Infrastructure;Infrastructure;Hydrogen subsea new pipeline;H2_SUBSEA_NEW;0.726;0.007;0;40;1;0;1;0;0;
Synthetic fuels;Synthetic fuels;Electrolysers;H2_ELECTROLYSIS;696.2;19.14556962;0;15;0.8946;0;1;0;0;
Synthetic fuels;Synthetic fuels;Steam methane reforming;H2_NG;681.2435621;64.43487218;0;25;0.85484;0;1;0;0;
Synthetic fuels;Synthetic fuels;Biomass to hydrogen;H2_BIOMASS;2525.39;177.9107679;0;25;0.85484;0;1;0;0;
